Genre, Number_of_movies
(Action,1331)
(Adventure,392)
(Animation,277)
(Biography,359)
(Comedy,2080)
(Crime,522)
(Drama,1444)
(Family,14)
(Fantasy,32)
(Horror,277)
(Musical,4)
(Mystery,38)
(Romance,15)
(Sci-Fi,13)
(Thriller,18)
(War,2)
(Western,2)

Year, Number_of_movies
(1986,220)
(1987,219)
(1988,220)
(1989,221)
(1990,220)
(1991,220)
(1992,220)
(1993,220)
(1994,220)
(1995,220)
(1996,220)
(1997,220)
(1998,220)
(1999,220)
(2000,220)
(2001,220)
(2002,220)
(2003,220)
(2004,220)
(2005,220)
(2006,220)
((2007,Mystery),2)
((2007,Sci-Fi),1)
((2008,Action),52)
((2008,Adventure),12)
((2008,Animation),10)
((2008,Biography),12)
((2008,Comedy),59)
((2008,Crime),21)
((2008,Drama),41)
((2008,Fantasy),1)
((2008,Horror),12)
((2009,Action),36)
((2009,Adventure),19)
((2009,Animation),17)
((2009,Biography),14)
((2009,Comedy),58)
((2009,Crime),12)
((2009,Drama),47)
((2009,Horror),13)
((2009,Mystery),2)
((2009,Sci-Fi),1)
((2009,Thriller),1)
((2010,Action),52)
((2010,Adventure),14)
((2010,Animation),10)
((2010,Biography),11)
((2010,Comedy),67)
((2010,Crime),11)
((2010,Drama),42)
((2010,Fantasy),1)
((2010,Horror),8)
((2010,Mystery),1)
((2010,Sci-Fi),1)
((2010,Thriller),2)
((2011,Action),49)
((2011,Adventure),12)
((2011,Animation),13)
((2011,Biography),12)
((2011,Comedy),56)
((2011,Crime),10)
((2011,Drama),53)
((2011,Fantasy),2)
((2011,Horror),9)
((2011,Mystery),3)
((2011,Romance),1)
((2012,Action),47)
((2012,Adventure),15)
((2012,Animation),10)
((2012,Biography),9)
((2012,Comedy),62)
((2012,Crime),9)
((2012,Drama),50)
((2012,Horror),16)
((2012,Mystery),1)
((2012,Sci-Fi),1)
((2013,Action),52)
((2013,Adventure),14)
((2013,Animation),12)
((2013,Biography),20)
((2013,Comedy),45)
((2013,Crime),18)
((2013,Drama),46)
((2013,Fantasy),1)
((2013,Horror),10)
((2013,Mystery),2)
((2014,Action),48)
((2014,Adventure),13)
((2014,Animation),12)
((2014,Biography),14)
((2014,Comedy),56)
((2014,Crime),16)
((2014,Drama),47)
((2014,Horror),10)
((2014,Mystery),2)
((2014,Romance),1)
((2014,Sci-Fi),1)
((2015,Action),47)
((2015,Adventure),11)
((2015,Animation),12)
((2015,Biography),23)
((2015,Comedy),50)
((2015,Crime),10)
((2015,Drama),53)
((2015,Horror),10)
((2015,Mystery),1)
((2015,Sci-Fi),1)
((2015,Thriller),1)
((2015,Western),1)
((2016,Action),61)
((2016,Adventure),16)
((2016,Animation),18)
((2016,Biography),23)
((2016,Comedy),40)
((2016,Crime),10)
((2016,Drama),37)
((2016,Horror),15)

Year, Genre, Cummulative_Rating_Score, Mean_Rating_ScoreS
((1986,Action),267.6,5.461224489795919)
((1986,Adventure),101.39999999999998,6.337499999999999)
((1986,Animation),46.3,6.614285714285714)
((1986,Biography),45.9,6.557142857142857)
((1986,Comedy),390.50000000000006,6.0076923076923086)
((1986,Crime),79.5,6.625)
((1986,Drama),305.9,6.6499999999999995)
((1986,Family),12.5,6.25)
((1986,Horror),58.10000000000001,5.8100000000000005)
((1986,Musical),7.0,7.0)
((1986,Sci-Fi),6.1,6.1)
((1986,Thriller),25.499999999999996,6.374999999999999)
((1987,Action),273.29999999999995,5.8148936170212755)
((1987,Adventure),48.699999999999996,5.4111111111111105)
((1987,Animation),7.2,7.2)
((1987,Biography),50.9,7.271428571428571)
((1987,Comedy),480.5,6.082278481012659)
((1987,Crime),109.00000000000001,6.411764705882354)
((1987,Drama),268.8,6.720000000000001)
((1987,Fantasy),21.799999999999997,5.449999999999999)
((1987,Horror),63.0,5.7272727272727275)
((1987,Mystery),5.3,5.3)
((1987,Sci-Fi),4.9,4.9)
((1987,Thriller),11.9,5.95)
((1988,Action),211.89999999999995,6.0542857142857125)
((1988,Adventure),54.300000000000004,6.033333333333334)
((1988,Animation),37.0,7.4)
((1988,Biography),41.400000000000006,6.900000000000001)
((1988,Comedy),493.59999999999997,6.019512195121951)
((1988,Crime),90.90000000000002,6.492857142857145)
((1988,Drama),316.8000000000001,6.600000000000002)
((1988,Family),5.9,5.9)
((1988,Fantasy),19.4,6.466666666666666)
((1988,Horror),61.9,5.627272727272727)
((1988,Mystery),6.1,6.1)
((1988,Romance),10.9,5.45)
((1988,Thriller),6.2,6.2)
((1988,War),12.8,6.4)
